position;run_num;file_name
89.5;180;14_Aug_2023_0001_EMM_Run180_e_withB_100Gev
87;181;14_Aug_2023_1627_EMM_Run181_e_withB_100Gev
84.5;182;14_Aug_2023_1630_EMM_Run182_e_withB_100Gev
82;183;14_Aug_2023_1632_EMM_Run183_e_withB_100Gev
79.5;184;14_Aug_2023_1634_EMM_Run184_e_withB_100Gev
77;185;14_Aug_2023_1636_EMM_Run185_e_withB_100Gev
74.5;186;14_Aug_2023_1638_EMM_Run186_e_withB_100Gev
72;187;14_Aug_2023_1641_EMM_Run187_e_withB_100Gev
69.5;188;14_Aug_2023_1642_EMM_Run188_e_withB_100Gev
67;189;14_Aug_2023_1644_EMM_Run189_e_withB_100Gev
64.5;190;14_Aug_2023_1647_EMM_Run190_e_withB_100Gev
62;191;14_Aug_2023_1650_EMM_Run191_e_withB_100Gev
59.5;192;14_Aug_2023_1652_EMM_Run192_e_withB_100Gev
57;193;14_Aug_2023_1654_EMM_Run193_e_withB_100Gev
54.5;194;14_Aug_2023_1656_EMM_Run194_e_withB_100Gev
52;195;14_Aug_2023_1701_EMM_Run195_e_withB_100Gev
49.5;196;14_Aug_2023_1704_EMM_Run196_e_withB_100Gev
47;197;14_Aug_2023_1707_EMM_Run197_e_withB_100Gev
44.5;198;14_Aug_2023_1709_EMM_Run198_e_withB_100Gev
42;199;14_Aug_2023_1715_EMM_Run199_e_withB_100Gev
39.5;200;14_Aug_2023_1718_EMM_Run200_e_withB_100Gev
37;201;14_Aug_2023_1722_EMM_Run201_e_withB_100Gev
34.5;202;14_Aug_2023_1724_EMM_Run202_e_withB_100Gev
32;203;14_Aug_2023_1729_EMM_Run203_e_withB_100Gev
29.5;204;14_Aug_2023_1731_EMM_Run204_e_withB_100Gev
27;205;14_Aug_2023_1733_EMM_Run205_e_withB_100Gev
24.5;206;14_Aug_2023_1735_EMM_Run206_e_withB_100Gev
22;207;14_Aug_2023_1737_EMM_Run207_e_withB_100Gev
19.5;208;14_Aug_2023_1739_EMM_Run208_e_withB_100Gev
17;209;14_Aug_2023_1807_EMM_Run209_e_withB_100Gev
14.5;210;14_Aug_2023_1812_EMM_Run210_e_withB_100Gev
12;211;14_Aug_2023_1814_EMM_Run211_e_withB_100Gev
9.5;212;14_Aug_2023_1816_EMM_Run212_e_withB_100Gev
7;213;14_Aug_2023_1819_EMM_Run213_e_withB_100Gev
4.5;214;14_Aug_2023_1821_EMM_Run214_e_withB_100Gev
2;215;14_Aug_2023_1823_EMM_Run215_e_withB_100Gev
-0.5;216;14_Aug_2023_1824_EMM_Run216_e_withB_100Gev
-3;217;14_Aug_2023_1826_EMM_Run217_e_withB_100Gev
-5.5;218;14_Aug_2023_1829_EMM_Run218_e_withB_100Gev
-8;219;14_Aug_2023_1830_EMM_Run219_e_withB_100Gev
-10.5;220;14_Aug_2023_1832_EMM_Run220_e_withB_100Gev
-13;221;14_Aug_2023_1833_EMM_Run221_e_withB_100Gev
-15.5;222;14_Aug_2023_1835_EMM_Run222_e_withB_100Gev
-18;223;14_Aug_2023_1836_EMM_Run223_e_withB_100Gev
-20.5;224;14_Aug_2023_1838_EMM_Run224_e_withB_100Gev
-23;225;14_Aug_2023_1839_EMM_Run225_e_withB_100Gev
-25.5;226;14_Aug_2023_1841_EMM_Run226_e_withB_100Gev
-28;227;14_Aug_2023_1842_EMM_Run227_e_withB_100Gev
-30.5;228;14_Aug_2023_1843_EMM_Run228_e_withB_100Gev
-33;229;14_Aug_2023_1846_EMM_Run229_e_withB_100Gev
-35.5;230;14_Aug_2023_1847_EMM_Run230_e_withB_100Gev
-38;231;14_Aug_2023_1849_EMM_Run231_e_withB_100Gev
-40.5;232;14_Aug_2023_1850_EMM_Run232_e_withB_100Gev
-43;233;14_Aug_2023_1852_EMM_Run233_e_withB_100Gev
-45.5;234;14_Aug_2023_1853_EMM_Run234_e_withB_100Gev
-48;235;14_Aug_2023_1854_EMM_Run235_e_withB_100Gev
-50.5;236;14_Aug_2023_1856_EMM_Run236_e_withB_100Gev
-53;237;14_Aug_2023_1857_EMM_Run237_e_withB_100Gev
-55.5;238;14_Aug_2023_1859_EMM_Run238_e_withB_100Gev
-58;239;14_Aug_2023_1900_EMM_Run239_e_withB_100Gev
-60.5;240;14_Aug_2023_1902_EMM_Run240_e_withB_100Gev
-63;241;14_Aug_2023_1903_EMM_Run241_e_withB_100Gev
